data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2019-11-09,Porto,Bonfim,Rua Morgado de Mateus / Rua Visconde de Bóbeda,peao,mortal,automovel (despiste),,masculino,Despiste de automovel que embateu em casa; condutor e peao morreram; peao estava no passeio e foi projetado para dentro da habitacao; ambas as vitimas tinham cerca de 60 anos,https://www.publico.pt/2019/11/09/local/noticia/despiste-automovel-centro-porto-mata-condutor-peao-1893115
2019-11-09,Porto,Bonfim,Rua Morgado de Mateus / Rua Visconde de Bóbeda,condutor,mortal,automovel (despiste),,masculino,Condutor do veiculo que se despistou e embateu em casa; morreu no local,https://www.publico.pt/2019/11/09/local/noticia/despiste-automovel-centro-porto-mata-condutor-peao-1893115
2019-01-11,Vila Nova de Gaia,Gaia centro,Avenida D. Joao II,peao,mortal,autocarro,75,feminino,Mulher de 75 anos atropelada por autocarro; obito declarado no local; alerta as 09h26,https://24noticias.sapo.pt/atualidade/artigos/atropelamento-em-gaia-provoca-uma-vitima-mortal-de-75-anos
2019-10-07,Vila Nova de Gaia,,Vila Nova de Gaia,peao,mortal,camiao,,feminino,Mulher morre atropelada por camiao em Gaia; projetada e esmagada contra muro,https://ionline.sapo.pt/2019/10/07/mulher-morre-na-sequencia-de-atropelamento-em-gaia/
2019-08-19,Vila Nova de Gaia,Aguda,Linha do Norte (estacao Aguda),peao,mortal,comboio,~45,masculino,Atropelamento ferroviario na Linha do Norte junto a estacao de Aguda; homem de cerca de 45 anos; alerta pelas 15h,https://observador.pt/2019/08/19/atropelamento-ferroviario-corta-circulacao-na-linha-do-norte-em-vila-nova-de-gaia/
2019-01-30,Gondomar,Valbom,IC29 junto a rotunda do Freixo,peao,mortal,automovel,,feminino,Mulher atravessava a estrada no IC29 sentido Porto-Gondomar quando foi colhida mortalmente; acidente pelas 22h42,https://www.jn.pt/pais/artigo/acidente-no-ic29-em-gondomar-faz-um-morto-/10513523
2019-07-15,Gondomar,Rio Tinto,Passagem de nivel do Caneiro,peao,mortal,comboio,78,masculino,Homem de 78 anos atravessou a linha na passagem de nivel do Caneiro; maquinista tentou alertar; vitima correu mas nao conseguiu chegar a plataforma; alerta as 13h40,https://observador.pt/2019/07/15/atropelamento-ferroviario-em-rio-tinto-provocou-um-morto/
2018-12-10,Vila Nova de Gaia,Gulpilhares,Travessa do Fojo / Rua de Norton de Matos,peao,mortal,automovel (Renault Megane),~50,masculino,Homem atropelado mortalmente por casal que fugiu do local; acidente pelas 22h10; vitima encontrada em paragem cardiorrespiratoria; testemunha anotou matricula,http://www.jn.pt/justica/artigo/atropelaram-mortalmente-um-homem-em-gaia-e-fugiram/10300348
2018-10-08,Matosinhos,Matosinhos centro,Rua Alfredo Cunha,peao,mortal,automovel ligeiro,,masculino,Homem morreu atropelado por veiculo ligeiro no centro de Matosinhos numa segunda-feira de manha pelas 10h30,https://www.noticiasaominuto.com/pais/1094162/atropelamento-rodoviario-faz-uma-vitima-mortal-no-centro-de-matosinhos
2018-06-11,Porto,Lordelo do Ouro,Rua do Campo Alegre,peao,mortal,automovel,72,feminino,Maria Dulce Leal de 72 anos atropelada numa passadeira na Rua do Campo Alegre; colhida por veiculo conduzido por mulher de 81 anos; obito no local,https://www.jn.pt/pais/artigo/mulher-morre-atropelada-numa-passadeira-no-porto/9431869
